Name,Place Type,Tier,Star,Status,Tags,City,Country,Town,Address,Latitude,Longitude,Apple ID,Source Guides,Conflict
Garrison,Restaurant,Experience,,Not visited,,Austin,United States,Austin,"101 Red River St, Austin, TX  78701, United States",30.2619965,-97.7380364,I5AF3D328595B78E0,Experience_Spots; Try_List,TIER+UNVISITED
Gelato Paradiso,Dessert,,,Visited,,Austin,United States,Austin,"1400 S Congress Ave, Suite B160, Austin, TX 78704, United States",30.2496885,-97.7501357,I594952DD0155BE5E,Dessert,
Geraldine's,Restaurant,Experience,Yes,Visited,Breakfast & brunch,Austin,United States,Austin,"605 Davis St, Austin, TX  78701, United States",30.2600314,-97.7392416,I34A688EB96B3F4BF,Breakfast___Brunch; Experience_Spots; Michael_s_Top_Faves,
Gil's Broiler & The Manske Roll Bakery,Dessert,,,Visited,,Austin,United States,San Marcos,"328 N LBJ Dr, San Marcos, TX 78666, United States",29.8850089,-97.9402587,IC1BC5C372D19DFF8,Dessert,
Gina's on Congress,Restaurant,Fair,Yes,Visited,,Austin,United States,Austin,"314 Congress Ave, Austin, TX  78701, United States",30.2658621,-97.7439022,IC551BACADCF551FA,Fair_Restaurants_; Michael_s_Top_Faves,
Grata’s Pizzeria,Restaurant,Fair,,Visited,,Austin,United States,Austin,"2700 S Lamar Blvd, Austin, TX  78704, United States",30.2453705,-97.7804454,I4A74800A1DAA8060,Fair_Restaurants_,
Green Gate Farms,Grocery,,,Visited,,Austin,United States,Austin,"8310 Canoga Ave, Austin, TX  78724, United States",30.2859667,-97.6347323,I6855400C968AA52F,Grocery,
Grizzelda's,Restaurant,Fair,,Visited,,Austin,United States,Austin,"105 Tillery St, Austin, TX  78702, United States",30.2521352,-97.7082883,IE0886F4BA92D7788,Fair_Restaurants_,
Group Therapy,Restaurant,,,Visited,Breakfast & brunch,Austin,United States,Austin,"400 Lavaca St, Austin, TX 78701, United States",30.2671872,-97.7464516,IB6C33456E95FC033,Breakfast___Brunch,
Gràcia Mediterranean,Restaurant,Fair,,Visited,,Austin,United States,Austin,"4800 Burnet Rd, Ste 450, Austin, TX  78756, United States",30.319075,-97.739501,IB1493E28346897BB,Fair_Restaurants_,
Guadalupe Brewing Company & Pizza Kitchen,Bar,Fair,,Visited,,Austin,United States,New Braunfels,"1586 Wald Rd, New Braunfels, TX 78132, United States",29.6845536,-98.1636866,IC068DE7FDC60CB41,Fair_Bars,
Gusto Italian Kitchen,Restaurant,Fair,,Visited,,Austin,United States,Austin,"4800 Burnet Rd, Austin, TX  78756, United States",30.318356,-97.740044,I6FE21DB68E5715A2,Fair_Restaurants_,
Hattie B's Hot Chicken,Restaurant,Fair,,Visited,,Austin,United States,Austin,"2529 S Lamar Blvd, Austin, TX  78704, United States",30.2457705,-97.7782563,I2785FAEFC37F30EC,Fair_Restaurants_,
Haywire,Restaurant,Destination,Yes,Visited,,Austin,United States,Austin,"11501 Rock Rose Ave, Unit 100, Austin, TX  78758, United States",30.4004691,-97.7227718,IDE74E6260E0C1152,Designation; Michael_s_Top_Faves,
Here Nor There,Bar,Cool,,Visited,,Austin,United States,Austin,"612 Brazos St, Austin, TX  78701, United States",30.2683524,-97.7413943,I831B26DC83A9FACB,Cool_Bars,
